job_db_inx,mod_time,account,cpus_req,id_array_task,id_job,id_user,id_group,het_job_offset,mem_req,nodelist,partition,timelimit,time_submit,time_eligible,time_start,time_end,tres_alloc,tres_req
472,1734876170,\N,8,4294967294,1087,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1734875869,1734875869,0,1734876170,,"1=8,2=1024000,4=4,5=8"
473,1734983682,\N,16,4294967294,1088,1027,1050,4294967294,0,mothra,kaijus,525600,1734983680,1734983680,1734983680,1734983682,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
475,1734983821,\N,6,4294967294,1089,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734983818,1734983818,1734983818,1734983818,"1=6,3=18446744073709551614,4=1,5=6","1=6,2=256000,4=1,5=6"
477,1734983896,\N,6,4294967294,1090,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734983894,1734983894,1734983895,1734983896,"1=6,3=18446744073709551614,4=1,5=6","1=6,2=256000,4=1,5=6"
479,1734985141,\N,6,4294967294,1091,1027,1050,4294967294,0,mothra,kaijus,525600,1734985139,1734985139,1734985139,1734985140,"1=6,3=18446744073709551614,4=1,5=6","1=6,2=256000,4=1,5=6"
481,1734985236,\N,6,4294967294,1092,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734985233,1734985233,1734985233,1734985233,"1=6,3=18446744073709551614,4=1,5=6","1=6,2=256000,4=1,5=6"
483,1734985251,\N,6,4294967294,1093,1027,1050,4294967294,0,mothra,kaijus,4294967295,1734985248,1734985248,1734985248,1734985249,"1=6,3=18446744073709551614,4=1,5=6","1=6,2=256000,4=1,5=6"
540,1737055854,\N,10,4294967294,1123,1027,1048,4294967294,102400,godzilla,kaijus,60,1737055844,1737055844,1737055844,1737055854,"1=10,3=18446744073709551614,4=1,5=10","1=10,2=102400,4=1,5=10"
542,1737058008,\N,10,4294967294,1124,1027,1048,4294967294,102400,godzilla,kaijus,60,1737055908,1737055908,1737055908,1737058008,"1=10,3=18446744073709551614,4=1,5=10","1=10,2=102400,4=1,5=10"
544,1737456197,\N,1,4294967294,1125,1027,1023,4294967294,0,mothra,kaijus,43260,1737456169,1737456169,1737456170,1737456196,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
